Karen Jane Dalton|Jan 2, 1961|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100119-karen-jane-dalton
Sharon Amiet Deacon|Nov 30, 1957|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100120-sharon-amiet-deacon
Kaye Elsdon|Feb 9, 1965|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100121-kaye-elsdon
Karin Fields (Maar)|Jun 11, 1953|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100122-karin-fields-maar
Kathryn Foster|May 7, 1960|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100123-kathryn-foster
Susanna Geh|Sep 10, 1959|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100124-susanna-geh
Fiona Glidden|Feb 12, 1966|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100125-fiona-glidden
Julie Gross|Mar 27, 1957|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100128-julie-gross
Jill Maree Hammond|Aug 25, 1950|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100129-jill-maree-hammond
Susan Harcus|Dec 11, 1954|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100130-susan-harcus
Maree Jackson|Oct 11, 1954|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100131-maree-jackson
Wendy Laidlaw|Feb 19, 1959|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100132-wendy-laidlaw
Robyn Maher|Oct 6, 1959|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100133-robyn-maher
Brownwyn Jane Marshall|Dec 31, 1963|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100134-brownwyn-jane-marshall
Patricia Mickan|Mar 12, 1957|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100136-patricia-mickan
Ann Misiewicz|Dec 19, 1955|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100137-ann-misiewicz
Marina Pearce|Apr 17, 1964|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100138-marina-pearce
Julie Nykiel|Dec 13, 1958|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100139-julie-nykiel
Carolyn Pangrazio|Feb 19, 1965|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100141-carolyn-pangrazio
Donna Brown|Oct 12, 1963|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100142-donna-brown
Marissa Rowe|Jul 16, 1963|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100143-marissa-rowe
